Course,City1,State1,Country1,Year
Ballyowen Golf Club,Hamburg,New Jersey,US,
Clearview Park Golf Course,New York,New York,US,
Sunset Valley Golf Course,Pompton Plains,New Jersey,US,
Rock Manor,Wilmington,Delaware,US,
Bulle Rock Golf Course,Havre de Grace,Maryland,US,
Fairchild-Wheeler - Red Course,Fairfield,Connecticut,US,
Desert Pines Golf Course,Las Vegas,Nevada,US,
Bali Hai Golf Club,Las Vegas,Nevada,US,
Las Vegas Paiute Golf Resort - Wolf,Las Vegas,Nevada,US,
Boyne Highlands - Heather,Harbor Springs,Michigan,US,
Boyne Highlands - Arthur Hills,Harbor Springs,Michigan,US,
The Course at Yale,New Haven,Connecticut,US,
Longshore Golf Club,Westport,Connecticut,US,
The Legends Golf Resort: Parkland,Myrtle Beach,South Carolina,US,
The Legends Golf Resort: Moorland,Mrytle Beach,South Carolina,US,
The Legends Golf Resort: Heathlands,Mrytle Beach,South Carolina,US,
Grand Dunes Resort Course,Mrytle Beach,South Carolina,US,
Beachwood Golf Course,Mrytle Beach,South Carolina,US,
Apple Greens Golf Course,Highland,New York,US,
Mohonk Golf Course,New Paltz,New York,US,
