,__id_left,__id_right,match_score,match_rank,course,g_course,city,g_city,state,g_state,country,g_country
8338,358_left,9794_right,1.1110030966353353,1,Mossy Oak Golf Club,Mossy Oak Golf Club,West Point,West Point,Mississippi,Mississippi,US,US
8339,359_left,14313_right,0.52935111294538,1,Crosswater at Sunriver Resort,Sunriver Resort - The Links at Caldera,Sunriver,Sunriver,Oregon,Oregon,US,US
8340,360_left,9155_right,0.7893945141208617,1,The Classic at Maddens Resort,Madden's Resort - The Classic,Brainerd,Brainerd,Minnesota,Minnesota,US,US
8341,360_left,9156_right,-0.12970611362396475,2,The Classic at Maddens Resort,The Legacy Courses at Craguns - Bobby,Brainerd,Brainerd,Minnesota,Minnesota,US,US
8342,360_left,9159_right,-0.13387073817757475,3,The Classic at Maddens Resort,The Legacy Courses at Craguns - Dutch,Brainerd,Brainerd,Minnesota,Minnesota,US,US
8343,360_left,9157_right,-0.24661701081700577,4,The Classic at Maddens Resort,The Legacy Courses at Craguns - Clockwise 9,Brainerd,Brainerd,Minnesota,Minnesota,US,US
8344,360_left,9158_right,-0.41589878391285723,5,The Classic at Maddens Resort,The Legacy Courses at Craguns - Counter Clockwise 9,Brainerd,Brainerd,Minnesota,Minnesota,US,US
8386,361_left,8126_right,1.3119848148811637,1,Bay Harbor Golf Club (Links/Quarry),Bay Harbor Golf Club - The Links/The Quarry,Bay Harbor,Bay Harbor,Michigan,Michigan,US,US
8387,362_left,15478_right,1.335511997097158,1,Dunes Golf and Beach Club,The Dunes Golf and Beach Club,Myrtle Beach,Myrtle Beach,South Carolina,South Carolina,US,US
8388,362_left,15479_right,1.1980383076492842,2,Dunes Golf and Beach Club,The Dunes Golf and Beach Club - Alt,Myrtle Beach,Myrtle Beach,South Carolina,South Carolina,US,US
8389,363_left,10639_right,0.8651819856011614,1,Wolf Creek Golf Club,Wolf Creek Golf Course,Mesquite,Mesquite,Nevada,Nevada,US,US
8390,363_left,1306_right,-0.32654726430248393,2,Wolf Creek Golf Club,Oak Creek Golf Club,Mesquite,Irvine,Nevada,California,US,US
8391,363_left,873_right,-0.34319366259275913,3,Wolf Creek Golf Club,Village Creek Golf Club,Mesquite,Newport,Nevada,Arkansas,US,US
8392,363_left,2157_right,-0.3449936737959564,4,Wolf Creek Golf Club,Bear Creek Golf Club,Mesquite,Denver,Nevada,Colorado,US,US
8393,363_left,1377_right,-0.34744303318399605,5,Wolf Creek Golf Club,Turkey Creek Golf Club,Mesquite,Lincoln,Nevada,California,US,US
8537,364_left,2356_right,1.1176290013035823,1,Red Sky Ranch and Golf Club (Norman),Red Sky Golf Club - Norman Course,Wolcott,Wolcott,Colorado,Colorado,US,US
8538,364_left,2144_right,-0.2936556655043897,2,Red Sky Ranch and Golf Club (Norman),Springs Ranch Golf Club,Wolcott,Colorado Springs,Colorado,Colorado,US,US
8539,364_left,2106_right,-0.304791676735064,3,Red Sky Ranch and Golf Club (Norman),River Valley Ranch Golf Club,Wolcott,Carbondale,Colorado,Colorado,US,US
8540,364_left,2105_right,-0.500949955921077,4,Red Sky Ranch and Golf Club (Norman),Four Mile Ranch Golf Club,Wolcott,Canon City,Colorado,Colorado,US,US
8541,364_left,2041_right,-0.6659698865844327,5,Red Sky Ranch and Golf Club (Norman),Aspen Golf Club,Wolcott,Aspen,Colorado,Colorado,US,US
8685,365_left,8687_right,1.0793478518062605,1,Marquette Golf Club (Greywalls),Marquette Golf Club - Greywalls Course,Marquette,Marquette,Michigan,Michigan,US,US
8686,366_left,18298_right,0.875864449411965,1,The Golf Courses of Lawsonia (Links),Lawsonia Golf Course - Links,Green Lake,Green Lake,Wisconsin,Wisconsin,US,US
8687,366_left,18296_right,-0.09163067239049796,2,The Golf Courses of Lawsonia (Links),The Woods Golf Club,Green Lake,Green Bay,Wisconsin,Wisconsin,US,US
8688,366_left,18393_right,-0.2750392999621643,3,The Golf Courses of Lawsonia (Links),The Bridges Golf Course,Green Lake,Madison,Wisconsin,Wisconsin,US,US
8689,366_left,3425_right,-0.2782901766127194,4,The Golf Courses of Lawsonia (Links),The Links of Naples,Green Lake,Naples,Wisconsin,Florida,US,US
8690,366_left,18469_right,-0.2789547534292784,5,The Golf Courses of Lawsonia (Links),The Valley Golf Course,Green Lake,Mondovi,Wisconsin,Wisconsin,US,US
