,__id_left,__id_right,match_score,match_rank,course,g_course,city,g_city,state,g_state,country,g_country
10060,414_left,5763_right,-0.8159539454124793,4,The Donald Ross Course at French Lick Resort,The Legends Golf Club - The Dye Course,French Lick,Franklin,Indiana,Indiana,US,US
10061,414_left,5989_right,-0.9007246787261438,5,The Donald Ross Course at French Lick Resort,The Waldo Golf Course,French Lick,Roann,Indiana,Indiana,US,US
10195,415_left,3611_right,1.162849067887619,1,Innisbrook Resort (Copperhead),Innisbrook Golf Resort - Copperhead,Palm Harbor,Palm Harbor,Florida,Florida,US,US
10196,416_left,4697_right,0.49932055273796844,1,The Prince Course,The Prince Course,Kauai,Princeville,Hawaii,Hawaii,US,US
10197,417_left,6406_right,1.0334245033288765,1,The Harvester Golf Club,The Harvester Golf Club,Rhodes,Rhodes,Iowa,Iowa,US,US
10198,418_left,12863_right,1.0812553769546274,1,Dormie Club,Dormie Club,West End,West End,North Carolina,North Carolina,US,US
10199,419_left,12603_right,0.7011084273155963,1,Linville (N.C.) Golf Club,Linville Golf Club,Linville,Linville,North Carolina,North Carolina,US,US
10200,419_left,12605_right,0.5051063963585711,2,Linville (N.C.) Golf Club,Linville Ridge Country Club,Linville,Linville,North Carolina,North Carolina,US,US
10201,419_left,12604_right,0.45802858382583994,3,Linville (N.C.) Golf Club,Linville Land Harbor Golf Club,Linville,Linville,North Carolina,North Carolina,US,US
10202,419_left,12617_right,0.10339730633792348,4,Linville (N.C.) Golf Club,Linville Falls Golf Club,Linville,Marion,North Carolina,North Carolina,US,US
10203,419_left,12601_right,0.057194526316357304,5,Linville (N.C.) Golf Club,Grandfather Golf & Country Club - Grandfather,Linville,Linville,North Carolina,North Carolina,US,US
10389,420_left,10594_right,1.0251229833282358,1,Edgewood Tahoe,Edgewood Tahoe Golf Course,Lake Tahoe,Lake Tahoe,Nevada,Nevada,US,US
10390,421_left,7246_right,0.8738541050694408,1,Belgrade Lakes Golf Club,Belgrade Lakes Golf Club,Belgrade Lakes,Belgrade Twn,Maine,Maine,US,US
10391,422_left,11398_right,1.3108262023312882,1,Trump Golf Links at Ferry Point,Trump Golf Links Ferry Point,Bronx,Bronx,New York,New York,US,US
10392,422_left,11973_right,-0.1958298300450408,2,Trump Golf Links at Ferry Point,The Lynx at River Bend Golf Club,Bronx,Port Jervis,New York,New York,US,US
10393,422_left,11908_right,-0.5364395089626431,3,Trump Golf Links at Ferry Point,The Golf Club at Middle Bay,Bronx,Oceanside,New York,New York,US,US
10394,422_left,11863_right,-0.5569075519163458,4,Trump Golf Links at Ferry Point,The Golf Club at Mansion Ridge,Bronx,Monroe,New York,New York,US,US
10395,422_left,11279_right,-0.5779478047693432,5,Trump Golf Links at Ferry Point,Arrowhead Golf Club,Bronx,Akron,New York,New York,US,US
10570,423_left,4744_right,1.4538575842477155,1,The Coeur D'Alene (Idaho) Resort,Coeur D'Alene Resort Golf Course,Coeur d'Alene,Coeur D'Alene,Idaho,Idaho,US,US
10571,423_left,531_right,-0.8821071719524226,2,The Coeur D'Alene (Idaho) Resort,The Legacy Golf Resort,Coeur d'Alene,Phoenix,Idaho,Arizona,US,US
10572,423_left,8416_right,-0.9321540265036012,3,The Coeur D'Alene (Idaho) Resort,The Loon Golf Resort - Loon Course,Coeur d'Alene,Gaylord,Idaho,Michigan,US,US
10573,423_left,8428_right,-0.9321540265036012,4,The Coeur D'Alene (Idaho) Resort,The Loon Golf Resort - Loon Course,Coeur d'Alene,Gaylord,Idaho,Michigan,US,US
10574,423_left,8442_right,-0.9619317620841403,5,The Coeur D'Alene (Idaho) Resort,The Homestead Resort,Coeur d'Alene,Glen Arbor,Idaho,Michigan,US,US
10717,424_left,377_right,1.711981222953521,1,We-Ko-Pa Golf Club (Saguaro),We-Ko-Pa Golf Club - Saguaro,Fort McDowell,Fort McDowell,Arizona,Arizona,US,US
10718,424_left,389_right,1.711981222953521,2,We-Ko-Pa Golf Club (Saguaro),We-Ko-Pa Golf Club - Saguaro,Fort McDowell,Fort McDowell,Arizona,Arizona,US,US
10719,425_left,9756_right,0.7800470273360695,1,Dancing Rabbit (Azaleas),Dancing Rabbit Golf Club - Azaleas,Choctaw,Philadelphia,Mississippi,Mississippi,US,US
10720,425_left,9757_right,0.19720369204444646,2,Dancing Rabbit (Azaleas),Dancing Rabbit Golf Club - Oaks,Choctaw,Philadelphia,Mississippi,Mississippi,US,US
10721,426_left,16150_right,1.380877153377474,1,Omni Barton Creek Resort (Fazio Foothills),Barton Creek Resort - Fazio Foothills,Austin,Austin,Texas,Texas,US,US
10722,426_left,16149_right,0.6927927113861564,2,Omni Barton Creek Resort (Fazio Foothills),Barton Creek Resort - Fazio Canyons,Austin,Austin,Texas,Texas,US,US
10723,427_left,4317_right,1.195305940582043,1,Golf Club at Cuscowilla,Golf Club at Cuscowilla,Eatonton,Eatonton,Georgia,Georgia,US,US
10724,428_left,12686_right,0.8874876234068044,1,Pinehurst Resort (No. 4),Pinehurst Resort - #4,Pinehurst,Pinehurst,North Carolina,North Carolina,US,US
10725,429_left,4649_right,0.6230946168792326,1,Turtle Bay Resort (Palmer),Turtle Bay Resort - Arnold Palmer,Oahu,Kahuku,Hawaii,Hawaii,US,US
10726,430_left,1676_right,1.2284103407650602,1,Trump National Golf Club Los Angelas,Trump National Golf Club,Rancho Palos Verdes,Rancho Palos Verdes,California,California,US,US
10727,431_left,1653_right,0.7735693604641996,1,Maderas Golf Club,Maderas Golf Club,Poway,Poway,California,California,US,US
10728,432_left,1835_right,0.2412764404721829,1,Sandpiper Golf Club,Birnam Wood Golf Club,Santa Barbara,Santa Barbara,California,California,US,US
10729,432_left,1836_right,0.23900094608689873,2,Sandpiper Golf Club,Glen Annie Golf Club,Santa Barbara,Santa Barbara,California,California,US,US
10730,432_left,1841_right,0.21882924381006189,3,Sandpiper Golf Club,Santa Barbara Golf Club,Santa Barbara,Santa Barbara,California,California,US,US
10731,433_left,10174_right,1.2002762378542964,1,Old Works Golf Course,Old Works Golf Course - Old Works,Anaconda,Anaconda,Montana,Montana,US,US
10732,434_left,4850_right,0.44567234310655923,1,Circling Raven,Circling Raven Golf Club at Coeur D'Alene Casino,Worley,Worley,Idaho,Idaho,US,US
10733,435_left,3540_right,-0.02678656542889392,1,Arnold Palmer's Bay Hill Club (Champion),The Bay Hill Club & Lodge - Championship,Orlando,Orlando,Florida,Florida,US,US
10734,435_left,3921_right,-0.03564368964005354,2,Arnold Palmer's Bay Hill Club (Champion),Arnold Palmer Legends Country Club - Cherry Hill,Orlando,The Villages,Florida,Florida,US,US
10735,435_left,3541_right,-0.09941913033866623,3,Arnold Palmer's Bay Hill Club (Champion),The Bay Hill Club & Lodge - Charger,Orlando,Orlando,Florida,Florida,US,US
10736,435_left,4649_right,-0.22015185952417418,4,Arnold Palmer's Bay Hill Club (Champion),Turtle Bay Resort - Arnold Palmer,Orlando,Kahuku,Florida,Hawaii,US,US
10737,435_left,3922_right,-0.22783567228455665,5,Arnold Palmer's Bay Hill Club (Champion),Arnold Palmer Legends Country Club - Cherry Hill/Laurel Valley,Orlando,The Villages,Florida,Florida,US,US
10938,436_left,9930_right,0.6989338003962194,1,Buffalo Ridge Golf Club,Buffalo Ridge Springs Golf Course,Hollister,Hollister,Missouri,Missouri,US,US
10939,436_left,9898_right,-0.04818901023244284,2,Buffalo Ridge Golf Club,Pevely Farms Golf Club,Hollister,Eureka,Missouri,Missouri,US,US
10940,436_left,9821_right,-0.12411601250021871,3,Buffalo Ridge Golf Club,Hail Ridge Golf Club,Hollister,Boonville,Missouri,Missouri,US,US
10941,436_left,9833_right,-0.12411601250021871,4,Buffalo Ridge Golf Club,Hail Ridge Golf Club,Hollister,Boonville,Missouri,Missouri,US,US
10942,436_left,9816_right,-0.13842861515604116,5,Buffalo Ridge Golf Club,Silo Ridge Golf & Country Club,Hollister,Bolivar,Missouri,Missouri,US,US
11086,437_left,4708_right,0.3067754136918676,1,Wailea Golf Club,Wailea Golf Club - Blue,Maui,Wailea,Hawaii,Hawaii,US,US
11087,437_left,4710_right,0.2881575676185483,2,Wailea Golf Club,Wailea Golf Club - Gold,Maui,Wailea,Hawaii,Hawaii,US,US
11088,437_left,4709_right,0.2770389269355183,3,Wailea Golf Club,Wailea Golf Club - Emerald,Maui,Wailea,Hawaii,Hawaii,US,US
11089,438_left,10628_right,0.5601826134497699,1,Wynn Las Vegas,The Wynn Golf Club,Las Vegas,Las Vegas,Nevada,Nevada,US,US
11090,439_left,2470_right,1.4198810547012857,1,Lake of Isles (North),Lake of Isles - North Course,North Stonington,North Stonington,Connecticut,Connecticut,US,US
11091,439_left,2471_right,1.0082636572144652,2,Lake of Isles (North),Lake of Isles - South Course,North Stonington,North Stonington,Connecticut,Connecticut,US,US
