Course,City,State,Country
Omni Barton Creek Resort (Fazio Canyons),Austin,Texas,US
Hualalai Golf Course,Kailua-Kona,Hawaii,US
Pumpkin Ridge Golf Club (Ghost Creek),North Plains,Oregon,US
Belvedere Golf Club,Charlevoix,Michigan,US
TPC San Antonio (AT&T),San Antonio,Texas,US
Boyne Highlands (Heather),Harbor Springs,Michigan,US
Torrey Pines Golf Course (North),La Jolla,California,US
Grand Traverse Resort and Spa (The Bear),Acme,Michigan,US
Pelican Hill Golf Club (Ocean North),Newport Coast,California,US
Poipu Bay Golf Course,Kauai,Hawaii,US
Kaluhyat Golf Club at Turning Stone Resort,Verona,New York,US
The Donald Ross Course at French Lick Resort,French Lick,Indiana,US
Innisbrook Resort (Copperhead),Palm Harbor,Florida,US
The Prince Course,Kauai,Hawaii,US
The Harvester Golf Club,Rhodes,Iowa,US
Dormie Club,West End,North Carolina,US
Linville (N.C.) Golf Club,Linville,North Carolina,US
Edgewood Tahoe,Lake Tahoe,Nevada,US
Belgrade Lakes Golf Club,Belgrade Lakes,Maine,US
Trump Golf Links at Ferry Point,Bronx,New York,US
The Coeur D'Alene (Idaho) Resort,Coeur d'Alene,Idaho,US
We-Ko-Pa Golf Club (Saguaro),Fort McDowell,Arizona,US
Dancing Rabbit (Azaleas),Choctaw,Mississippi,US
Omni Barton Creek Resort (Fazio Foothills),Austin,Texas,US
Golf Club at Cuscowilla,Eatonton,Georgia,US
Pinehurst Resort (No. 4),Pinehurst,North Carolina,US
Turtle Bay Resort (Palmer),Oahu,Hawaii,US
Trump National Golf Club Los Angelas,Rancho Palos Verdes,California,US
Maderas Golf Club,Poway,California,US
Sandpiper Golf Club,Santa Barbara,California,US
Old Works Golf Course,Anaconda,Montana,US
Circling Raven,Worley,Idaho,US
Arnold Palmer's Bay Hill Club (Champion),Orlando,Florida,US
Buffalo Ridge Golf Club,Hollister,Missouri,US
Wailea Golf Club,Maui,Hawaii,US
Wynn Las Vegas,Las Vegas,Nevada,US
Lake of Isles (North),North Stonington,Connecticut,US
